case_id,case_type,legal_regime,ipc_sections,num_ipc_sections,bns_sections,num_bns_sections,cpc_sections,num_cpc_sections,max_severity_score,immediate_threat_flag,societal_impact_score,priority_score,case_date,case_age_days,num_precedents,total_words,priority_category,priority_explanation
Abdulla_Ahmed_vs_Animendra_Kissen_Mitter_on_14_March_1950_1,civil,IPC,,0,,0,,0,3,0,1,2.05,,,0,14379,Low,Civil case
Abdul_Rehman_Anr_vs_Mohd_Ruldu_Ors_on_27_September_2012_1,civil,IPC,,0,,0,,0,3,1,1,5.05,,,1,3139,Medium,Civil case
Abuzar_Hossain_Gulam_Hossain_vs_State_Of_West_Bengal_on_10_October_2012_1,criminal,IPC,"302,34",2,"103,3",2,,0,10,0,3,5.0,24-6-1960,24120.0,1,13709,Medium,Criminal case; 2 IPC sections involved; Pending for 66 years
Accountant_General_M_P_vs_S_K_Dubey_Anr_on_29_February_2012_1,criminal,IPC,,0,,0,,0,3,0,5,4.05,,,7,13588,Medium,Criminal case; High legal complexity
Acg_Associated_Capsules_P_Ltd_vs_C_I_T_Central_Iv_Mumbai_on_8_February_2012_1,criminal,IPC,,0,,0,,0,3,0,1,2.05,,,0,4326,Low,Criminal case
Adarsh_Shiksha_Mahavidyalaya_Ors_vs_Subhash_Rahangdale_Ors_on_6_January_2012_1,criminal,IPC,,0,,0,,0,3,0,5,3.55,11-01-2008,6753.0,1,29537,Low,Criminal case; Pending for 18 years
Ahmedsaheb_D_By_Lrs_Ors_vs_Sayed_Ismail_on_19_July_2012_1,civil,IPC,,0,,0,,0,3,1,1,4.55,5 October 1971,20000.0,1,4233,Medium,Civil case; Pending for 54 years
Ajay_Kumar_Parmar_vs_State_Of_Rajasthan_on_27_September_2012_1,criminal,IPC,"342,376",2,"127,65",2,,0,10,0,3,5.5,,,29,5474,Medium,Criminal case; 2 IPC sections involved; High legal complexity
Ajay_Maken_vs_Adesh_Kumar_Gupta_Anr_on_11_December_2012_1,civil,IPC,,0,,0,,0,3,0,3,2.55,30-05-2011,5518.0,2,11821,Low,Civil case; Pending for 15 years
Ajay_Pandit_Jagdish_Dayabhai_vs_State_Of_Maharashtra_on_17_July_2012_1,criminal,IPC,420,1,318,1,,0,5,1,1,5.75,,,4,7715,Medium,Criminal case; 1 IPC sections involved
Akhilesh_Yadav_vs_Vishwanath_Chaturvedi_Ors_on_13_December_2012_1,criminal,IPC,,0,,0,,0,3,0,5,4.05,,,1,6432,Medium,Criminal case
Akil_Javed_vs_State_Of_Nct_Of_Delhi_on_6_December_2012_1,criminal,IPC,"302,34,354,392,411",5,"103,3,74,309,317",5,,0,10,1,3,8.0,06/12/2012,4962.0,5,12451,Critical,Criminal case; 5 IPC sections involved; Pending for 13 years
Alagupandi_Alagupandian_vs_State_Of_Tamil_Nadu_on_8_May_2012_1,criminal,IPC,"302,448",2,"103,329",2,,0,10,1,1,7.5,,,1,6147,High,Criminal case; 2 IPC sections involved
Alister_Anthony_Pareira_vs_State_Of_Maharashtra_on_12_January_2012_1,criminal,IPC,"279,299,300,302,304,304a,307,320,336,337,338,376,427",13,"281,100,101,103,105,106,109,116,125,125,125,65,324",13,,0,10,1,1,7.5,,,5,15200,High,Criminal case; 13 IPC sections involved
Alok_Kumar_Pandit_vs_State_Of_Assam_Ors_on_26_November_2012_1,criminal,IPC,,0,,0,,0,3,0,3,3.05,,,0,4982,Low,Criminal case
Amar_Pal_Singh_vs_State_Of_U_P_Anr_on_17_May_2012_1,criminal,IPC,,0,,0,,0,3,0,3,3.05,,,10,5061,Low,Criminal case; High legal complexity
Amar_Singh_Jatav_Anr_vs_State_Of_M_P_on_26_September_2012_1,criminal,IPC,,0,,0,,0,3,1,1,5.05,,,0,690,Medium,Criminal case
Amit_Kapoor_vs_Ramesh_Chander_Anr_on_13_September_2012_1,criminal,IPC,"107,109,306,448",4,"45,49,108,329",4,,0,4,0,3,3.4,,,17,12504,Low,Criminal case; 4 IPC sections involved; High legal complexity
Amit_vs_State_Of_U_P_on_23_February_2012_1,criminal,IPC,"201,302,364,376,377",5,"238,103,140,65",4,,0,10,0,3,5.5,,,2,3541,Medium,Criminal case; 5 IPC sections involved
Amrit_Bhanu_Shali_Ors_vs_National_Insurance_Co_Ltd_Ors_on_4_April_2012_1,criminal,IPC,,0,,0,,0,3,0,1,2.05,,,1,3396,Low,Criminal case
Anand_Mohan_vs_State_Of_Bihar_on_10_July_2012_1,criminal,IPC,"109,114,147,149,302,307,427",7,"49,54,191,190,103,109,324",7,,0,10,1,3,8.5,,,5,11764,Critical,Criminal case; 7 IPC sections involved
Aneeta_Hada_vs_M_S_Godfather_Travels_Tours_Pvt_Ltd_on_27_April_2012_1,criminal,IPC,67,1,8,1,,0,4,0,5,4.4,,,14,13116,Medium,Criminal case; 1 IPC sections involved; High legal complexity
Anju_Chaudhary_vs_State_Of_U_P_Anr_on_13_December_2012_1,criminal,IPC,"147,156,302,410,427,436,506",7,"191,193,103,317,324,326,351",7,,0,10,1,3,8.0,20-5-1995,11372.0,3,15237,Critical,Criminal case; 7 IPC sections involved; Pending for 31 years
Archaeological_Survey_Of_India_vs_Narender_Anand_And_Ors_on_16_January_2012_1,civil,IPC,,0,,0,,0,3,1,5,7.05,24/22/2006,,0,9841,High,Civil case
Arjuna_Lal_Misra_vs_The_State_on_30_November_1950_1,criminal,IPC,,0,,0,,0,3,1,3,5.55,17-11-1946,29088.0,0,2507,Medium,Criminal case; Pending for 79 years
Arumugam_vs_State_Rep_By_Insp_Of_Police_on_24_July_2012_1,criminal,IPC,,0,,0,,0,3,0,1,2.05,,,0,3615,Low,Criminal case
Arup_Das_Ors_vs_State_Of_Assam_Ors_on_27_January_2012_1,criminal,IPC,,0,,0,,0,3,0,3,2.55,2-11-1991,12667.0,0,3606,Low,Criminal case; Pending for 34 years
Asha_vs_B_D_Sharma_University_Of_Health_on_10_July_2012_1,criminal,IPC,,0,,0,,0,3,0,3,3.05,,,3,8346,Low,Criminal case
Ashok_Kumar_Ratilal_Patel_vs_Uoi_And_Anr_on_16_July_2012_1,criminal,IPC,,0,,0,,0,3,0,3,3.05,,,1,2902,Low,Criminal case
Ashok_Kumar_vs_State_Of_Uttarakhand_Ors_on_13_December_2012_1,civil,IPC,,0,,0,,0,3,1,1,5.05,,,0,2396,Medium,Civil case
Ashok_Sadarangani_Anr_vs_Union_Of_India_Ors_on_14_March_2012_1,criminal,IPC,,0,,0,,0,3,0,5,4.05,,,0,4418,Medium,Criminal case
Ashrafkhan_Babu_Munnekhan_Pathan_Anr_vs_State_Of_Gujarat_on_26_September_2012_1,criminal,IPC,3,1,,0,,0,4,0,2,2.4,19-3-1995,11434.0,1,10958,Low,Criminal case; 1 IPC sections involved; Pending for 31 years
Ashutosh_Lahiry_vs_The_State_Of_Delhi_And_Anr_on_19_May_1950_1,criminal,IPC,,0,,0,,0,3,1,5,6.55,5-3-1950,27884.0,0,2878,High,Criminal case; Pending for 76 years
Ashwani_Kumar_Saxena_vs_State_Of_M_P_on_13_September_2012_1,criminal,IPC,"302,307,324,326,34",5,"103,109,118,118,3",5,,0,10,1,1,7.5,,,1,8894,High,Criminal case; 5 IPC sections involved
Ash_Mohammad_vs_Shiv_Raj_Singh_Lalla_Babu_Anr_on_20_September_2012_1,criminal,IPC,,0,,0,,0,3,1,3,6.05,,,4,5938,High,Criminal case
Assam_Urban_Water_Supply_Sew_Board_vs_M_S_Subash_Projects_Marketing_Ltd_on_19_January_2012_1,civil,IPC,,0,,0,,0,3,0,3,3.05,,,1,2125,Low,Civil case
Atmaram_Ors_vs_State_Of_M_P_on_10_May_2012_1,criminal,IPC,"149,300,302,326",4,"190,101,103,118",4,,0,10,1,1,7.0,16-5-1988,13932.0,2,6964,High,Criminal case; 4 IPC sections involved; Pending for 38 years
Attar_Singh_vs_State_Of_Maharashtra_on_14_December_2012_1,criminal,IPC,302,1,103,1,,0,10,0,1,4.5,,,4,5218,Medium,Criminal case; 1 IPC sections involved
Avinash_Sadashiv_Bhosale_D_Thr_Lrs_vs_U_O_I_Ors_on_25_September_2012_1,criminal,IPC,,0,,0,,0,3,1,5,7.05,,,3,11616,High,Criminal case
Avishek_Goenka_vs_Union_Of_India_Anr_on_27_April_2012_1,criminal,IPC,,0,,0,,0,3,0,5,4.05,,,1,4812,Medium,Criminal case
Ayaaubkhan_Noorkhan_Pathan_vs_State_Of_Maharashtra_Ors_on_8_November_2012_1,civil,IPC,,0,,0,,0,3,1,5,7.05,,,46,9558,High,Civil case; High legal complexity
Azija_Begum_vs_State_Of_Maharashtra_Anr_on_12_January_2012_1,criminal,IPC,,0,,0,,0,3,0,3,3.05,,,0,1327,Low,Criminal case
Azim_Ahmad_Kazmi_And_Ors_vs_State_Of_U_P_And_Anr_on_16_July_2012_1,civil,IPC,,0,,0,,0,3,1,3,6.05,,,3,4825,High,Civil case
A_K_Gopalan_vs_The_State_Of_Madras_Union_Of_India__on_19_May_1950_1,criminal,IPC,,0,,0,,0,3,1,5,7.05,,,0,106162,High,Criminal case
A_M_Mair_Co_vs_Gordhandass_Sagarmull_on_30_November_1950_1,civil,IPC,,0,,0,,0,3,0,1,2.05,,,0,2354,Low,Civil case
A_Nawab_John_Ors_vs_V_N_Subramaniyam_on_3_July_2012_1,civil,IPC,,0,,0,149,1,3,1,1,4.55,22-03-1995,11431.0,6,9374,Medium,Civil case; 1 CPC sections involved; Pending for 31 years; High legal complexity
A_Shanmugam_vs_Ariya_K_R_K_M_N_P_Sangam_Tr_Pres_Etc_on_27_April_2012_1,civil,IPC,,0,,0,30,1,3,1,3,6.05,,,1,12230,High,Civil case; 1 CPC sections involved
A_V_M_Sales_Corporation_vs_M_S_Anuradha_Chemicals_Pvt_Ltd_on_17_January_2012_1,civil,IPC,,0,,0,,0,3,0,1,2.05,,,3,3135,Low,Civil case
A_V_Padma_Ors_vs_R_Venugopal_Ors_on_27_January_2012_1,civil,IPC,,0,,0,,0,3,0,1,2.05,,,1,2143,Low,Civil case
Badami_D_Tr_Her_Lr_vs_Bhali_on_22_May_2012_1,civil,IPC,,0,,0,"10,15",2,3,1,3,5.55,26-4-2003,8474.0,18,6363,Medium,Civil case; 2 CPC sections involved; Pending for 23 years; High legal complexity
Baliya_Bal_Kishan_vs_State_Of_M_P_on_5_October_2012_1,criminal,IPC,"120b,302",2,"61,103",2,,0,10,1,1,7.5,,,0,3994,High,Criminal case; 2 IPC sections involved
Bar_Council_Of_India_vs_Union_Of_India_on_3_August_2012_1,civil,IPC,,0,,0,,0,3,0,5,4.05,,,2,8867,Medium,Civil case
Bavo_Manubhai_Ambalal_Thakore_vs_State_Of_Gujarat_on_3_February_2012_1,criminal,IPC,,0,,0,,0,3,0,1,2.05,,,1,1767,Low,Criminal case
Benarsi_Krishna_Commit_Ors_vs_Karmyogi_Shelters_P_Ltd_on_21_September_2012_1,civil,IPC,,0,,0,,0,3,0,1,2.05,,,2,3197,Low,Civil case
Bhajju_Karan_Singh_vs_State_Of_M_P_on_15_March_2012_1,criminal,IPC,"302,307",2,"103,109",2,,0,10,0,1,4.5,,,1,6565,Medium,Criminal case; 2 IPC sections involved
Bharat_Aluminium_Co_vs_Kaiser_Aluminium_Technical_on_6_September_2012_1,civil,IPC,,0,,0,151,1,3,1,5,6.55,27-6-2006,7316.0,3,46832,High,Civil case; 1 CPC sections involved; Pending for 20 years
Bharat_Heavy_Electricals_Ltd_vs_R_S_Avtar_Singh_Co_on_5_October_2012_1,civil,IPC,,0,,0,34,1,3,0,1,1.55,6-1-1981,16619.0,0,9003,Very Low,Civil case; 1 CPC sections involved; Pending for 45 years
Bhartiya_Seva_Samaj_Trust_Tr_Pres_Anr_vs_Yogeshbhai_Ambalal_Patel_Anr_on_14_September_2012_1,criminal,IPC,,0,,0,,0,3,0,3,3.05,,,18,3904,Low,Criminal case; High legal complexity
Bhaskar_Laxman_Jadhav_Ors_vs_Karamveer_Kakasaheb_Wagh_Edu_Sty_Ors_on_11_December_2012_1,civil,IPC,,0,,0,,0,3,0,1,2.05,,,2,6517,Low,Civil case
Bhau_Ram_vs_Janak_Singh_Ors_on_20_July_2012_1,civil,IPC,,0,,0,,0,3,0,3,3.05,,,1,2261,Low,Civil case
Bhawanipore_Banking_Corpora_Tion_Ltd_vs_Gouri_Shankar_Sharma_on_14_March_1950_1,civil,IPC,,0,,0,110,1,3,1,3,6.05,,,0,1353,High,Civil case; 1 CPC sections involved
Bhimanna_vs_State_Of_Karnataka_on_4_September_2012_1,criminal,IPC,"149,302,323,324,325,326,327,34,447,504",10,"190,103,115,118,117,118,119,3,329,352",10,,0,10,1,1,7.5,,,21,6139,High,Criminal case; 10 IPC sections involved; High legal complexity
Bhopal_Gas_Peedith_Mahila_vs_U_O_I_Ors_on_9_August_2012_1,civil,IPC,,0,,0,,0,3,0,5,4.05,,,1,9572,Medium,Civil case
Bhubaneswar_Development_Authority_vs_Adikanda_Biswal_Ors_on_1_February_2012_1,criminal,IPC,,0,,0,,0,3,0,3,2.55,01/02/2012,5271.0,0,3654,Low,Criminal case; Pending for 14 years
Bhupendra_Nath_Hazarika_Anr_vs_State_Of_Assam_Ors_on_30_November_2012_1,criminal,IPC,,0,,0,,0,3,0,3,3.05,,,3,12738,Low,Criminal case
Bhushan_Kumar_Anr_vs_State_Nct_Of_Delhi_Anr_on_4_April_2012_1,criminal,IPC,"174,420",2,"208,318",2,,0,5,1,3,6.75,,,1,2955,High,Criminal case; 2 IPC sections involved
Bihar_Public_Service_Commn_vs_Saiyed_Hussain_Abbas_Rizwi_Anr_on_13_December_2012_1,criminal,IPC,,0,,0,,0,3,1,3,6.05,,,1,7361,High,Criminal case
Bimal_Kumar_Anr_vs_Shakuntala_Debi_Ors_on_27_February_2012_1,civil,IPC,,0,,0,,0,3,1,3,6.05,,,8,6497,High,Civil case; High legal complexity
Bipromasz_Bipron_Trading_Sa_vs_Bharat_Electronics_Limited_Bel_on_8_May_2012_1,civil,IPC,,0,,0,,0,3,0,3,2.55,7-1-2002,8948.0,2,8496,Low,Civil case; Pending for 24 years
Brajendrasingh_vs_State_Of_M_P_on_28_February_2012_1,criminal,IPC,"302,309",2,103,1,,0,10,1,3,8.5,,,1,8031,Critical,Criminal case; 2 IPC sections involved
Brijesh_Mavi_vs_State_Of_Nct_Of_Delhi_on_3_July_2012_1,criminal,IPC,"34,460",2,"3,331",2,,0,4,1,1,5.4,,,1,5635,Medium,Criminal case; 2 IPC sections involved
Brij_Bhushan_And_Another_vs_The_State_Of_Delhi_on_26_May_1950_1,criminal,IPC,,0,,0,,0,3,0,5,4.05,,,0,5702,Medium,Criminal case
Brij_Bhushan_And_Anr_vs_The_State_Of_Delhi_on_2_March_1950_1,criminal,IPC,,0,,0,,0,3,0,5,4.05,,,0,5507,Medium,Criminal case
Burdwan_Central_Co_Op_Bank_Ltd_Anr_vs_Asim_Chatterjee_Ors_on_18_January_2012_1,civil,IPC,,0,,0,,0,3,0,3,3.05,,,0,3478,Low,Civil case
Catholic_Syrian_Bank_Ltd_vs_Commissioner_Of_Income_Tax_Thrissur_on_17_February_2012_1,criminal,IPC,,0,,0,,0,3,0,1,2.05,,,0,11187,Low,Criminal case
Cbi_Hyderabad_vs_K_Narayana_Rao_on_21_September_2012_1,criminal,IPC,"109,420",2,"49,318",2,,0,5,0,3,3.75,,,0,8881,Low,Criminal case; 2 IPC sections involved
Central_Bureau_Of_Investigation_vs_Amitbhai_Anil_Chandra_Shah_And_Anr_on_27_September_2012_1,criminal,IPC,,0,,0,,0,3,1,5,7.05,,,0,7116,High,Criminal case
Chairman_Lic_Of_India_Ors_vs_A_Masilamani_on_23_November_2012_1,criminal,IPC,,0,,0,,0,3,0,1,2.05,,,9,3022,Low,Criminal case; High legal complexity
Chandi_Prasad_Uniyal_And_Ors_vs_State_Of_Uttarakhand_And_Ors_on_17_August_2012_1,criminal,IPC,,0,,0,,0,3,0,3,3.05,,,1,3194,Low,Criminal case
Chandrakala_Trivedi_vs_State_Of_Rajasthan_Ors_on_12_January_2012_1,criminal,IPC,,0,,0,,0,3,0,1,2.05,,,0,856,Low,Criminal case
Chandralekha_vs_State_Of_Rajasthan_Anr_on_14_December_2012_1,criminal,IPC,,0,,0,,0,3,0,1,1.55,14/9/2011,5411.0,1,1657,Very Low,Criminal case; Pending for 14 years
Chandra_Kumar_Chopra_vs_Union_Of_India_Ors_on_11_May_2012_1,criminal,IPC,,0,,0,,0,3,0,3,3.05,,,4,6900,Low,Criminal case
Chief_Controlling_Revenue_vs_Maharashtra_Sugar_Mills_Ltd_on_27_May_1950_1,civil,IPC,,0,,0,,0,3,1,3,6.05,,,0,4891,High,Civil case
Chintaman_Rao_vs_The_State_Of_Madhya_Pradeshram_on_8_November_1950_1,criminal,IPC,,0,,0,,0,3,0,3,3.05,,,0,2319,Low,Criminal case
Chiranjit_Lal_Chowdhuri_vs_The_Union_Of_India_And_Others_on_4_December_1950_1,civil,IPC,,0,,0,,0,3,1,3,6.05,,,0,28123,High,Civil case
Chittaranjan_Mukherji_vs_Barhoo_Mahto_on_5_May_1950_1,civil,IPC,,0,,0,,0,3,1,1,4.55,14-12-1944,29791.0,0,2134,Medium,Civil case; Pending for 81 years
Chloro_Controls_I_P_Ltd_vs_Severn_Trent_Water_Purification_Inc_on_28_September_2012_1,civil,IPC,,0,,0,,0,3,1,3,6.05,,,3,34472,High,Civil case
Church_Of_Christ_Charitable_Trust_Edu_vs_M_S_Ponniamman_Educationa_Trust_Rep_on_3_July_2012_1,civil,IPC,,0,,0,,0,3,1,1,5.05,,,0,5938,Medium,Civil case
Cicily_Kallarackal_vs_Vehicle_Factory_on_6_August_2012_1,criminal,IPC,,0,,0,,0,3,0,3,3.05,,,1,1285,Low,Criminal case
